key,翻译文本（简体中文）,翻译文本（英语）,译文（繁体中文）,译文（阿拉伯语）,译文（德语）,译文（西语）,译文（法语）,译文（印尼语）,译文（意大利语）,译文（日语）,译文（韩语）,译文（马来语）,译文（波兰语）,译文（葡萄牙语）,译文（俄语）,译文（泰语）,译文（土耳其语）,译文（越南语）,译文（印地语）,译文（菲律宾语）
power,当前战力,Power,目前戰力,قوة,Energie,Poder,Puissance,Power,Potere,現在の戦力,현재 전투력,Kuasa,Siła,Poder,Мощь,พลัง,Güç,Sức Mạnh,पॉवर,Power
Hpower,历史最高战力,Highest Power,歷史最高戰力,أكبر قوة,Höchste Energie,Mayor poder,Puissance (plus élevée),Power Tertinggi,Potere più alto,過去最大戦力,역대 최고 전투력,Kuasa Tertinggi,Największa siła,Maior Poder,Макс. мощь,พลังสูงสุด,En Yüksek Güç,Kỷ Lục Sức Mạnh,उच्चतम पॉवर,Pinakamataas na Power
deaths,阵亡,Deaths,陣亡,وفيات,Tode,Muertes,Morts,Death,Morti,戦死,사망,Kematian,Polegli,Mortes,Смерти,ตาย,Alt Etme,Tử Vong,मौतें,Napaslang
resourcesGathered,采集资源,Resources Gathered,採集資源,تم جمع الموارد,Gesammelte Ressourcen,Recursos recolectados,Ressources collectées,Sumber Daya Terkumpul,Risorse raccolte,採集資源,채집 자원,Sumber yang Dikumpulkan,Zebrane surowce,Recursos Coletados,Собранные ресурсы,ทรัพยากรที่เก็บ,Toplanan Kaynak,Tài Nguyên Thu Thập,संसाधन एकत्र हुए,Natipon na Resources
,T5击杀,T5 Kills,T5擊殺,قتل بأعلى 5,K5-Kills,Bajas T5,Éliminations T5,T5 Kill,Uccisioni T5,T5撃破,T5 처치,Bunuhan T5,Zabite jedn. T5,Abates R5,Убийства T5,ฆ่า T5,T5 Alt Etme,Tiêu Diệt T5,T5 किल्स,T5 Kills
,T4击杀,T4 Kills,T4擊殺,قتل بأعلى4,K4-Kills,Bajas T4,Éliminations T4,T4 Kill,Uccisioni T4,T4撃破,T4 처치,Bunuhan T4,Zabite jedn. T4,Abates R4,Убийства T4,ฆ่า T4,T4 Alt Etme,Tiêu Diệt T4,T4 किल्स,T4 Kills
,T3击杀,T3 Kills,T3擊殺,قتل بأعلى3,K3-Kills,Bajas T3,Éliminations T3,T3 Kill,Uccisioni T3,T3撃破,T3 처치,Bunuhan T3,Zabite jedn. T3,Abates R3,Убийства T3,ฆ่า T3,T3 Alt Etme,Tiêu Diệt T3,T3 किल्स,T3 Kills
,T2击杀,T2 Kills,T2擊殺,قتل بأعلى2,K2-Kills,Bajas T2,Éliminations T2,T2 Kill,Uccisioni T2,T2撃破,T2 처치,Bunuhan T2,Zabite jedn. T2,Abates R2,Убийства T2,ฆ่า T2,T2 Alt Etme,Tiêu Diệt T2,T2 किल्स,T2 Kills
,T1击杀,T1 Kills,T1擊殺,قتل بأعلى1,K1-Kills,Bajas T1,Éliminations T1,T1 Kill,Uccisioni T1,T1撃破,T1 처치,Bunuhan T1,Zabite jedn. T1,Abates R1,Убийства T1,ฆ่า T1,T1 Alt Etme,Tiêu Diệt T1,T1 किल्स,T1 Kills
alliancedonations,联盟捐献贡献值,Alliance Donations,聯盟捐獻貢獻值,تبرعات التحالف,Bündnisspenden,Donaciones a la alianza,Dons d'alliance,Donasi Aliansi,Donazioni alleanza,同盟寄付貢献値,연맹 기부 공헌도,Sumbangan Perikatan,Datki na sojusz,Doações da Aliança,Пожертвования в альянс,บริจาคให้สมาพันธ์,İttifak Bağışı,Cống Hiến Liên Minh,एलायंस दान,Alliance Donations
buildtime,建造时间,Build Time,建造時間,وقت البناء,Bauzeit,Tiempo de construcción,Temps de construction,Waktu Pembangunan,Tempo di costruzione,建設時間,건설 시간,Masa Binaan,Czas budowy,Tempo de Construção,Время строительства,เวลาสร้าง,İnşaat Süresi,Thời Gian Xây Dựng,निर्माण समय,Build Time
alliancehelp,联盟帮助,Alliance Help,聯盟幫助,مساعدة التحالف,Bündnishilfe,Ayuda a la alianza,Aide d'alliance,Bantuan Aliansi,Aiuto alleanza,同盟支援,연맹 지원,Bantuan Perikatan,Pomoc sojuszu,Ajuda da Aliança,Помощь альянсу,สมาพันธ์ช่วยเหลือ,İttifak Yardımı,Hỗ Trợ Liên Minh,एलायंस मदद,Alliance Help
searchDefaultInfo,请搜索角色昵称或角色ID,Search by character username or ID,請搜尋角色暱稱或角色ID,البحث حسب اسم المستخدم أو المعرف,Anhand Charakter-Benutzername oder ID suchen,Buscar por nombre de usuario o ID del personaje,Rechercher par nom de perso. ou ID,Cari berdasarkan nama pengguna atau ID karakter,Cerca con nome personaggio o ID,キャラクターニックネームやキャラクターIDで検索してください,캐릭터 닉네임 또는 캐릭터ID를 검색하세요.,Cari mengikut nama pengguna atau ID watak,Szukaj wg nazwy lub identyfikatora postaci,Buscar por nome de usuário ou ID,Поиск по имени пользователя или ID персонажа,ค้นหาตามชื่อผู้ใช้หรือ ID ตัวละคร,Karakter kullanıcı adı veya kimliğiyle ara,Tìm tên người dùng nhân vật hoặc ID nhân vật,कैरेक्टर उपयोगकर्ता नाम या ID द्वारा खोजें,Maghanap ayon sa username o ID ng character
GList,成员列表,Governor List,成員列表,قائمة الحُكام,Statthalterliste,Lista de gobernadores,Liste des gouverneurs,Daftar Gubernur,Lista governatori,メンバーリスト,멤버 리스트,Senarai Gabenor,Lista zarządców,Lista de Governadores,Список правителей,รายชื่อผู้ว่าการ,Vali Listesi,Danh Sách Thống Đốc,गवर्नर सूची,Listahan ng Governor
G300,当前300人,Governors: 300,目前300人,الحُكام: 300,Statthalter: 300,Gobernadores: 300,Gouverneurs : 300,Gubernur: 300,Governatori: 300,現在300人,현재 300명,Gobenor: 300,Zarządcy: 300,Governadores: 300,Правители: 300,ผู้ว่าการ: 300,Vali: 300,Thống đốc: 300,गवर्नर्स: 300,Governor: 300
export,导出excel,Export to Excel,導出Excel檔,نقل إلى Excel,Nach Excel exportieren,Exportar a Excel,Exporter (Excel),Ekspor ke Excel,Esporta a Excel,Excelにエクスポート,Excel로 내보내기,Eksport ke Excel,Eksportuj do programu Excel,Exportar para Excel,Экспорт в Excel,ส่งออกไป Excel,Excel'e Aktar,Xuất ra Excel,एक्सेल में निर्यात करें,I-export sa Excel
nopermission,你没有权限查看其他王国的数据,You don't have permission to view other kingdoms.,你沒有權限查看其他王國的數據,ليس لديك إذن لعرض الممالك الأخرى.,"Du hast nicht die Berechtigung, andere Königreiche einzusehen.",No tienes permiso para ver otros reino.,Vous n'avez pas la permission de voir d'autres royaumes.,Tidak memiliki izin melihat kerajaan lain.,Non hai il permesso di vedere altri regni.,他の王国のデータを見る権限がありません,다른 왕국의 데이터를 조회할 권한이 없습니다.,Anda tidak mempunyai keizinan untuk melihat kerajaan lain.,Nie masz uprawnień do przeglądania innych królestw.,Você não tem permissão para ver outros reinos.,У вас нет прав на просмотр других королевств.,คุณไม่ได้รับอนุญาตให้ดูอาณาจักรอื่น,Diğer krallıkları görüntüleme yetkin yok.,Bạn không có quyền hạn xem số liệu của vương quốc khác.,आपके पास अन्य किंगडम्स को देखने की अनुमति नहीं है।,Wala kang pahintulot na tingnan ang ibang kingdom.
nodata,当前无数据,No data available.,目前無數據,لا توجد بيانات متاحة,Keine Daten verfügbar.,No hay datos disponibles.,Aucune donnée disponible,Data tidak tersedia.,Nessun dato disponibile.,データがありません,현재 데이터 없음,Tiada data yang tersedia.,Brak danych.,Nenhum dado disponível.,Нет доступных данных.,ไม่มีข้อมูล,Mevcut veri yok.,Không có dữ liệu.,कोई डेटा उपलब्ध नहीं है।,Walang available na data.
all,全选,All,全選,الكل,Alle,Todos,Tous,Semua,Tutti,全選択,전체 선택,Semua,Wszystkie,Tudo,Все,ทั้งหมด,Tümü,Tất cả,सभी,Lahat
attempts,请勿频繁导出，1分钟后再试,Too many attempts. Please wait 1 minute and try again.,請勿頻繁導出，建議1分鐘後再次操作,محاولات متكررة. يرجى الانتظار لمدة دقيقة واحدة ثم حاول مجددًا.,Zu viele Versuche. Bitte warte 1 Minute und versuche es erneut.,Demasiados intentos. Espera 1 minuto y vuelve a intentarlo.,Trop de tentatives de vérification. Veuillez attendre 1 minute et réessayer.,"Terlalu banyak percobaan. Tunggu 1 menit, lalu coba lagi.",Troppi tentativi. Attendi 1 minuto e riprova.,エクスポートの頻度が高すぎます。1分後にもう一度お試しください,내보내기가 너무 잦습니다. 1분 후 다시 시도해 주세요.,Terlalu banyak percubaan. Sila tunggu selama 1 minit dan cuba lagi.,Za duża częstotliwość prób. Odczekaj minutę i spróbuj ponownie.,Excesso de tentativas. Aguarde 1 minuto e tente novamente.,Слишком много попыток. Подождите одну минуту и повторите попытку.,ลองหลายครั้งเกินไป โปรดรอ 1 นาทีแล้วลองอีกครั้ง,Çok fazla deneme yaptın. Lütfen 1 dakika bekle ve sonra tekrar dene.,"Đừng thao tác quá nhanh, đợi 1 phút rồi thử lại.",बहुत सारे प्रयास। कृपया 1 मिनट प्रतीक्षा करें और पुनः प्रयास करें।,Masyadong maraming pagsubok. Mangyaring maghintay nang 1 mintuo at subukan ulit.
king,国王,King,國王,الملك,König,Rey,Roi,Raja,Re,国王,국왕,Raja,Król,Rei,Король,กษัตริย์,Kral,Vua,किंग,King
consort,王后,Consort,王后,القرينة,Gefährte,Consorte,Consort,Permaisuri,Consorte,王妃,여왕,Permaisuri,Małżonka,Consorte,Консорт,คู่สมรส,Konsort,Vương Hậu,कॉन्सोर्ट,Consort
notLoggedIn,您还未登录，,You're not logged in.,您還未登入，,لم يتم تسجيل دخولك.,Du bist nicht angemeldet.,No iniciaste sesión.,Vous n'êtes pas connecté.,Kamu belum login.,Non hai effettuato l'accesso.,まだログインしていません,로그인하지 않았습니다.,Anda tidak log masuk.,Nie jesteś zalogowany(-na).,Você não está conectado(a).,Вход не выполнен.,คุณไม่ได้ล็อกอิน,Oturum açmadın.,Bạn chưa đăng nhập.,आप लॉग इन नहीं हैं।,Hindi ka naka-log in.
logIn,立即登录,Log In Now,立即登入,سجّل دخول الآن,Jetzt anmelden,Iniciar sesión ahora,Se connecter maintenant,Login Sekarang,Accedi ora,今すぐログイン,즉시 로그인,Log Masuk Sekarang,Zaloguj się teraz,Faça o login agora,Войти,ล็อกอินตอนนี้,Hemen Giriş Yap,Đăng nhập ngay,अभी लॉग इन करें,Mag-log In Na
characterSelected,角色选择成功,Character selected!,角色選擇成功,الشخصية المختارة!,Charakter ausgewählt!,¡Selecciona un personaje!,Personnage sélectionné !,Karakter dipilih!,Personaggio selezionato!,キャラクターを選択しました,캐릭터 선택 성공,Watak dipilih!,Wybrano postać!,Personagem selecionado,Персонаж выбран!,เลือกตัวละครแล้ว!,Karakter seçildi!,Đã chọn nhân vật!,चुना गया कैरेक्टर!,Napiling character!
selectCharacter,选择角色,Select Character,選擇角色,حدد الشخصية,Charakter auswählen,Seleccionar personaje,Sélection de personnage,Pilih Karakter,Seleziona personaggio,キャラクター選択,캐릭터 선택,Pilih Watak,Wybierz postać,Selecionar personagem,Выбрать персонажа,เลือกตัวละคร,Karakter Seç,Chọn nhân vật,कैरेक्टर चुनें,Pumili ng Character
power,战力,Power,戰力,قوة,Energie,Poder,Puissance,Power,Potere,戦力,전투력,Kuasa,Siła,Poder,Мощь,พลัง,Güç,Sức mạnh,पॉवर,Power
failedtoselect,选择失败，请重试,Failed to select. Please try again.,選擇失敗，請重試,فشل التحديد، يرجى المحاولة مجددًا.,Auswählen fehlgeschlagen. Bitte versuche es erneut.,Error al seleccionar. Vuelve a intentarlo.,Sélection impossible. Veuillez réessayer.,Gagal memilih. Coba lagi.,Selezione fallita. Riprova.,選択できませんでした。もう一度お試しください,"선택 실패, 다시 시도하세요!",Gagal dipilih. Sila cuba lagi.,Nie można wybrać. Spróbuj ponownie.,Falha ao selecionar. Tente novamente.,Не удалось выбрать. Повторите попытку.,เลือกไม่สำเร็จ โปรดลองอีกครั้ง,Seçim başarısız oldu. Lütfen tekrar dene.,"Không thể chọn được, hãy thử lại.",चुनना विफल। कृपया फिर कोशिश करें।,Hindi napili. Subukan ulit.
searchKID,搜索王国ID,Search Kingdom ID,搜尋王國ID,بحث عن رمز تعريف مملكة,Königreich-ID suchen,Buscar ID del reino,Rechercher ID royaume,Cari ID Kerajaan,Cerca ID regno,王国IDで検索,왕국 ID 검색,Cari ID Kerajaan,Wyszukaj po identyfikatorze królestwa,Buscar ID de Reino,Поиск по ID королевства,ค้นหา ID อาณาจักร,Krallık Kimliği Ara,Tìm ID vương quốc,किंगडम ID खोजें,Hanapin ang Kingdom ID
bottom,已经到底啦，暂无更多信息,You've reached the bottom!,已經到底了，暫無更多資訊可供查看,لقد وصلت إلى الأسفل!,Du hast das Ende erreicht!,¡Llegaste al final!,Vous êtes arrivé en bas !,Kamu sudah mencapai akhir!,Hai raggiunto il fondo!,情報はすべて表示済みです,"추가 정보 없음, 끝에 도달했습니다.",Anda telah sampai ke bahagian bawah!,Jesteś na samym dole.,Você chegou ao fim!,Вы дошли до конца!,คุณถึงด้านล่างสุด!,Sayfanın sonuna ulaştın!,Bạn đã tới cuối rồi!,आप तल में पहुँच गए हैं!,Nakarating ka na sa bottom!
currentPlayers,当前{N}人,Current: {N} players,目前{N}人,الحالي: {N} من اللاعبين,Aktuell: {N} Spieler,Actualmente: {N} jugadores,Actuellement : {N} joueurs,Saat ini: {N} pemain,Attuale: {N} giocatori,現在{N}人,현재 {N}명,Semasa: {N} pemain,Obecnie: {N} graczy,Atual: {N} jogador(es),Сейчас игроков: {N},ปัจจุบัน: ผู้เล่น {N} คน,Mevcut: {N} oyuncu,Hiện tại: {N} người chơi,मौजूदा: {N} खिलाड़ी,Kasalukuyan: {N} (na) player
selectTime,选择时间,Select Time,選擇時間,اختر الوقت,Zeit auswählen,Seleccionar tiempo,Choisir durée,Pilih Waktu,Seleziona tempo,時間を選択,시간 선택,Pilih Masa,Wybierz czas,Selecionar tempo,Выберите время,เลือกเวลา,Zaman Seç,Chọn thời gian,समय चुनें,Pumili ng Tagal
setInfo,设置信息,Set Info,設定資訊,معلومة الإعداد,Info festlegen,Establecer info.,Choisir infos,Tetapkan Info,Info set,情報設定,정보 설정,Tetapkan Maklumat,Ustawienie,Definir informações,Введите информацию,ข้อมูลเซ็ต,Set Bilgisi,Cài đặt thông tin,जानकारी निर्धारित करें,Ilagay ang Impormasyon
seasonofConquest,征服赛季,Season of Conquest,征服賽季,موسم الغزو,Eroberungsstaffel,Temporada de Conquista,Saison de conquête,Season of Conquest,Stagione di conquista,征服シーズン,정복 시즌,Musim Penaklukan,Sezon Podbojów,Temporada da Conquista,Сезон завоевания,Season of Conquest,Fetih Sezonu,Mùa Chinh Phạt,कॉन्केस्ट का सीज़न,Season of Conquest
server,区服,Server,區服,الخادم,Server,Servidor,Serveur,Server,Server,サーバー,서버,Pelayan,Serwer,Servidor,Сервер,เซิร์ฟเวอร์,Sunucu,Máy chủ,सर्वर,Server
totalpower,王国总战力,Total Power,王國總戰力,إجمالي القوة,Energie gesamt,Poder total,Puissance totale,Total Power,Potere totale,王国総戦力,왕국 총 전투력,Jumlah Kuasa,Suma siły,Poder Total,Суммарная мощь,พลังรวม,Toplam Güç,Tổng sức mạnh,कुल पॉवर,Kabuuang Power
powerrankings,王国总战力排行,Power Rankings,王國總戰力排行,ترتيبات القوة,Energie-Rangliste,Clasificación de poder,Classement (puissance),Peringkat Power,Classifica potere,王国総戦力ランキング,왕국 총 전투력 랭킹,Kedudukan Kuasa,Ranking siły,Ranking de Poder,Рейтинг мощи,อันดับพลัง,Güç Sıralaması,Thứ hạng sức mạnh,पॉवर रैंकिंग्स,Power Rankings
RoKToolkit,RoK游戏工具,RoK Toolkit,RoK遊戲工具,مجموعة أدوات RoK,RoK-Toolkit,RoK Toolkit,Toolkit RoK,RoK Toolkit,Kit RoK,RoKゲームツール,RoK 게임 툴,Set Alat RoK,Niezbędnik RoK,Kit de Ferramentas RoK,Набор инструментов RoK,เครื่องมือ RoK,RoK Araç Seti,Bộ công cụ RoK,RoK टूलकिट,RoK Toolkit
copyLink,复制链接,Copy Link,複製連結,نسخ الرابط,Link kopieren,Copiar enlace,Copier lien,Salin Tautan,Copia Collegamento,リンクをコピー,링크 복사,Salin Pautan,Skopiuj link,Copiar Link,Копировать ссылку,คัดลอกลิงก์,Bağlantıyı Kopyala,Sao chép đường dẫn,लिंक कॉपी करें,Kopyahin ang Link
copyLinkInfo,请点击复制链接，使用浏览器打开下载,Copy the link and open it in your browser to download.,請點擊複製連結，並用瀏覽器開啟下載,انسخ الرابط وافتحه في متصفحك لتحميله.,"Kopiere den Link und öffne ihn in deinem Browser, um den Download zu starten.",Copia el enlace y ábrelo en tu navegador para descargar.,Copier le lien et ouvrez-le dans votre navigateur pour télécharger.,Salin dan buka tautan di browser untuk mengunduh.,Copia il link e aprilo nel tuo browser per scaricare.,リンクをコピーし、ブラウザに貼り付けてダウロードしてください,터치로 링크를 복사해 브라우저에서 다운로드하세요.,Salin pautan dan buka pautan dalam penyemak imbas anda untuk memuat turun.,"Skopiuj link i otwórz go w przeglądarce, aby pobrać.",Copie e abra o link em seu navegador para baixar.,Для загрузки скопируйте эту ссылку и откройте ее в браузере.,,İndirmek için bağlantıyı kopyala ve tarayıcında aç.,Sao chép đường dẫn và mở trong trình duyệt để tải về.,लिंक को कॉपी करें और डाउनलोड करने के लिए इसे अपने ब्राउज़र में खोलें।,Kopyahin ang link at buksan ito sa browser mo para ma-download.
validInfo,5分钟内有效,The link is c for 5 minutes.,5分鐘內有效,الرابط صالح لمدة 5 دقائق.,Der Link ist 5 Minuten lang gültig.,El enlace será válido por 5 minutos.,Ce lien est valable pendant 5 minutes.,Tautan valid selama 5 menit.,Il collegamento è valido per 5 minuti.,5分間有効,링크는 5분간 유효합니다.,Pautan ini sah selama 5 minit.,Link jest ważny przez 5 minut.,O link é válido por 5 minutos.,Ссылка действует пять минут.,ลิงก์นี้จะหมดอายุใน 5 นาที,Bağlantı 5 dakika boyunca geçerlidir.,Đường dẫn này có hiệu lực trong 5 phút.,लिंक 5 मिनट के लिए मान्य है।,May bisa ang link sa loob ng 5 minuto.
copied,复制成功,Copied!,複製成功,تم النسخ!,Kopiert!,¡Copiado!,Copié !,Disalin!,Copiato!,コピーしました,복사 성공,Disalin!,Skopiowano.,Copiado!,Скопировано!,คัดลอกแล้ว!,Kopyalandı!,Sao chép thành công!,कॉपी किया गया!,Nakopya!
ratingtiers,分档逻辑：,Rating Tiers:,分檔邏輯：,مستويات التقييم:,Bewertungsstufen:,Rangos de calificación:,Paliers de classement :,Urutan Peringkat:,Gradi valutazione:,ランク分けの基準：,분류 기준:,Tingkat Rating:,Kategorie ocen:,Graus de Avaliação:,Ранги рейтинга:,ขั้นของคะแนน:,Derece Katmanları:,Bậc điểm số:,रेटिंग टियर्स:,Mga Tier ng Rating:
ratingtiersInfo,S：前1%；A：1%-5%； B：5%-20%； C：20%-50%；D：50%-100%,S: Top 1% A: 1%–5% B: 5%–20% C: 20%–50% D: 50%–100%,S：前1%；A：1%-5%； B：5%-20%； C：20%-50%；D：50%-100%,ث: الأعلى 1% أ:1%–5% ب:5%–20% ج:20%–50% د:50%–100%,S: Top 1% A: 1%–5% B: 5%–20% C: 20%–50% D: 50%–100%,S: Top 1 % A: 1 %–5 % B: 5 %–20 % C: 20 %–50 % D: 50 %–100 %,S : Top 1 % A : 1-5 % B : 5-20 % C : 20-50 % D : 50-100 %,S: Top 1% A: 1%–5% B: 5%–20% C: 20%–50% D: 50%–100%,S: Top 1% A: 1%–5% B: 5%–20% C: 20%–50% D: 50%–100%,S：上位1%；A：上位1%～5%； B：上位5%～20%； C：上位20%～50%；D：上位50%～100%,"S: TOP1%, A: 1%-5%, B: 5%-20%, C: 20%~50%, D: 50%~100%",S: Top 1% A: 1%–5% B: 5%–20% C: 20%–50% D: 50%–100%,S: 1% najlepszych A: 1%–5% B: 5%–20% C: 20%–50% D: 50%–100%,S: TOP 1% A: 1% - 5% B: 5% - 20% C: 20% - 50% D: 50% - 100%,S: Топ-1% A: 1%–5% B: 5%–20% C: 20%–50% D: 50%–100%,S: Top 1% A: 1%–5% B: 5%–20% C: 20%–50% D: 50%–100%,S: İlk %1 A: %1–%5 B: %5–%20 C: %20–%50 D: %50–%100,S: Top 1% A: 1% – 5% B: 5% – 20% C: 20% – 50% D: 50% – 100%,S: शीर्ष 1% A: 1%–5% B: 5%–20% C: 20%–50% D: 50%–100%,S: Top 1% A: 1%–5% B: 5%–20% C: 20%–50% D: 50%–100%
betaTest,先锋测试,Beta Test,先鋒測試,اختبار بيتا,Beta-Test,Prueba beta,Beta test,Uji Coba Beta,Test Beta,先鋒テスト,사전 체험,Ujian Beta,Test beta,Teste Beta,Бета-тестирование,ทดสอบขั้นเบต้า,Beta Testi,Thử nghiệm beta,बीटा परीक्षण,Beta Test
testPrompt,"系统处于测试中，目前只提供征服赛季王国的信息，可能存在部分数据缺失和不准确的情况
","System is in testing and only provides details on Season of Conquest kingdoms. Some data may be missing or inaccurate.
","系統處於測試中，目前僅提供征服賽季王國的資訊，可能存在部分資料缺失和不準確的情況
","النظام قيد الاختبار ولا يوفر سوى تفاصيل عن ممالك موسم الغزو. قد تكون بعض البيانات ناقصة أو غير دقيقة.
","Das System befindet sich in einer Testphase und liefert nur Details zu Königreichen der Eroberungsstaffel. Einige Daten können fehlen oder ungenau sein.
","El sistema está en fase de prueba y solo brinda detalles sobre los reinos de la Temporada de Conquista. Podrían faltar algunos datos o ser imprecisos.
","Le système est en phase de test et ne propose que des informations sur les royaumes de la Saison de conquête. Certaines données peuvent ne pas être présentes ou peuvent être incorrectes.
","Sistem sedang dalam pengujian dan hanya menyediakan detail di kerajaan Musim Penaklukan. Sejumlah data mungkin hilang atau tidak akurat.
","Il sistema è in fase di test e fornisce dettagli solo sui regni di Stagione di Conquista. Alcuni dati potrebbero essere mancanti o inesatti.
","システムテスト中につき、征服シーズンの王国の情報しか表示できません。データの一部に欠損や不正確な情報が含まれている可能性があります
","시스템이 테스트 중입니다. 현재 정복 시즌 왕국 정보만 제공할 수 있습니다. 일부 데이터가 누락되거나 정확하지 않을 수 있습니다.
","Sistem sedang diuji dan hanya memberikan butiran tentang kerajaan Musim Penaklukan. Sesetengah data mungkin tidak tersedia atau tidak tepat.
","System jest w fazie testów i udostępniane są wyłącznie informacje dotyczące królestw w Sezonie Podbojów. Niektóre dane mogą być niekompletne lub niedokładne.
","O sistema está em teste e só fornece detalhes sobre reinos da Temporada de Conquista. Alguns dados podem estar faltando ou incorretos.
","Система находится в режиме тестирования и предоставляет информацию только по королевствам в Сезоне завоеваний. Некоторые данные могут отсутствовать или быть неточными.
","ระบบกำลังทำการทดสอบและจะแสดงรายละเอียดของอาณาจักร Season of Conquest เท่านั้น บางข้อมูลอาจไม่ปรากฏหรือไม่ถูกต้อง
","Sistem şu anda test aşamasında ve yalnızca Fetih Sezonu'ndaki krallıklar hakkında bilgi sağlıyor. Bazı veriler eksik ya da hatalı olabilir.
","Hệ thống đang được thử nghiệm và chỉ cung cấp thông tin về các vương quốc Mùa Chinh Phạt. Một số dữ liệu có thể bị mất hoặc không chính xác.
","सिस्टम परीक्षण चरण में है और केवल सीज़न ऑफ़ कॉन्क्वेस्ट किंगडम्स के बारे में विवरण देता है। कुछ डेटा गायब या गलत हो सकता है।
","Sinusubukan pa ang sistema at nagbibigay lang ng mga detalye tungkol sa Season of Conquest kingdoms. Maaaring kulang o hindi tumpak ang ilang data.
"
dataPrompt,仅展示开始日与结束日均位于战力TOP1200的玩家数据,"Only shows data from players ranked in the top 1,200 at both the start and end dates.",僅展示開始日與結束日均位於戰力TOP1200的玩家資料,يعرض فقط بيانات اللاعبين المصنفين ضمن أفضل 1200 لاعب في تاريخ البدء والانتهاء.,"Zeigt nur Daten von Spielern, die sich sowohl zum Start- als auch zum Endzeitpunkt in den Top 1.200 befanden.",Solo se muestran datos de los mejores 1200 jugadores tanto en las fechas de inicio como de finalización.,N'affiche que les données des joueurs classés dans le top 1 200 aux dates de début et de fin.,Hanya menampilkan data dari pemain dengan peringkat 1.200 teratas di tanggal awal dan akhir.,Mostra solo i dati dei giocatori classificati tra i primi 1200 sia alla data di inizio che di fine.,開始日と終了日のどちらでも戦力TOP1200にランクインしたプレイヤーのデータしか表示されません,시작일과 종료일 모두 전투력 TOP1200 플레이어의 데이터만 표시합니다.,"Hanya tunjukkan data pemain yang berada dalam kedudukan 1,200 teratas pada tarikh mula dan tamat.","Wyświetlane są tylko dane graczy, którzy w dniu rozpoczęcia i zakończenia rozgrywek znajdowali się wśród 1200 najlepszych w rankingu.",São exibidos apenas dados de jogadores entre os 1200 primeiros colocados nas datas inicial e final.,"Отображаются только данные от игроков, находящихся с первого по 1200-е место в рейтинге на дату начала и завершения.","แสดงเฉพาะข้อมูลจากผู้เล่นอันดับ 1,200 สูงสุดตั้งแต่วันที่เริ่มต้นจนถึงวันที่สิ้นสุดเท่านั้น",Yalnızca hem başlangıç hem de bitiş tarihlerinde ilk 1.200'de yer alan oyuncuların verilerini gösterilir.,Chỉ hiện dữ liệu từ người chơi nằm trong top 1.200 ở ngày bắt đầu và ngày kết thúc.,"केवल आरंभ और समाप्ति तिथियों पर शीर्ष 1,200 में रैंक किए गए खिलाड़ियों का डेटा दिखाता है।","Nagpapakita lang ng data mula sa mga player na na-rank sa top 1,200 sa parehong petsa ng pagsisimula at pagtatapos."
calculatePrompt,基于王国成员战力TOP1200玩家汇总计算,"Calculated based on the combined Power of the kingdom's top 1,200 members.",基於王國成員戰力TOP1200玩家匯總計算,تم حسابها بناءً على القوة المُجمعة لأفضل 1200 عضو في المملكة.,Berechnet basierend auf der kombinierten Energie der 1.200 besten Spieler des Königreichs.,Se calcula según el poder combinado de los mejores 1200 miembros del reino.,Calculs basés sur la puissance combinée des membres des royaumes du top 1 200.,Dihitung berdasarkan gabungan Power dari 1.200 anggota teratas kerajaan.,Calcolato in base al potere complessivo dei 1200 membri più importanti del regno.,王国メンバー戦力TOP1200のプレイヤーに基づいて集計,왕국 구성원 전투력 TOP1200 플레이어를 집계해 계산합니다.,"Dikira berdasarkan gabungan Kuasa 1,200 ahli teratas kerajaan.",Wynik oblicza się na podstawie łącznej mocy 1200 najsilniejszych graczy w królestwie.,Calculado de acordo com o Poder combinado dos 1200 primeiros membros.,Рассчитано на основе показателя совместной силы 1200 лучших участников королевства.,"คำนวณตามอำนาจรวมของอาณาจักรของ 1,200 สมาชิกสูงสุด","Hesaplamalar, krallığın en güçlü 1.200 üyesinin toplam gücüne göre yapılır.",Tính toán căn cứ theo sức mạnh tổng hợp từ top 1.200 thành viên của vương quốc.,"किंगडम के शीर्ष 1,200 सदस्यों की संयुक्त शक्ति के आधार पर गणना की गई।","Kinakalkula batay sa pinagsamang top 1,200 na miyembro ng Power of kingdom."
KKills,王国击杀/重伤,Kingdom Kills,王國擊殺,قتلى المملكة,Königreich-Kills,Eliminaciones del reino,Éliminations (royaume),Kill Kerajaan,Uccisioni Regno,王国撃破,왕국 처치,Bunuhan Kerajaan,Zabici w królestwie,Abates do Reino,Убийства королевства,จำนวนฆ่าของอาณาจักร,Krallık Leşleri,Điểm tiêu diệt của vương quốc,किंगडम की हत्याएँ,Kingdom Kills
